"Click Date","Install Date","Device Id","Device Name",MAC,IDFV,IDFV_OLD,IDFV_NEW,IDFA,IDFA_OLD,IDFA_NEW,GDID,"Sub Publisher",Country,IP,"Glispa Click ID"
"2016-11-01 00:38:39","2016-11-01 00:47:21",290F554B-AE0D-4E59-9F8A-7E71B9F8C5D1,"iPad2,2",02:00:00:00:00:00,736FEE2A-1652-4197-858E-015F9CECE124,9A71A1E2-95C0-4F70-865B-FF502621E4D7,736FEE2A-1652-4197-858E-015F9CECE124,290F554B-AE0D-4E59-9F8A-7E71B9F8C5D1,A9DE4C53-1014-4DF0-8F3F-6E887BA7417C,290F554B-AE0D-4E59-9F8A-7E71B9F8C5D1,5919091830,CD41951,RU,109.252.26.78,CD41951p1561_84eac22b768f___2119552___2185832___87954162-9fcb-11e6-a2a7-1140e36ed27b
"2016-11-01 02:10:06","2016-11-01 02:14:49",4CD5867F-3B43-49D3-A61B-D2602F4E5275,"iPad2,2",02:00:00:00:00:00,C6D95263-FF1F-4D28-A42F-78493790CA52,736FEE2A-1652-4197-858E-015F9CECE124,C6D95263-FF1F-4D28-A42F-78493790CA52,4CD5867F-3B43-49D3-A61B-D2602F4E5275,290F554B-AE0D-4E59-9F8A-7E71B9F8C5D1,4CD5867F-3B43-49D3-A61B-D2602F4E5275,5919154272,CD41951,RU,109.252.26.78,CD41951p2190_7e0683e1d34e___2119552___2185832___4d287622-9fd8-11e6-bf17-1140e3a2a31c
"2016-11-01 04:40:55","2016-11-01 04:43:25",077E384A-B7E1-42DC-917E-842C4341B9F2,"iPad2,5",02:00:00:00:00:00,8F6E1AC4-3369-45ED-B3CE-54D8592BE18B,,,077E384A-B7E1-42DC-917E-842C4341B9F2,,,5919255082,CD41951,RU,95.110.16.48,CD41951p2870___2119552___2185832___5f71c5ee-9fed-11e6-8df2-1140e42433f9
"2016-11-01 05:02:15","2016-11-01 05:04:29",E82931BF-28D9-47FF-982F-8CDA9F3F6A00,"iPad2,7",02:00:00:00:00:00,B32CB2DB-F452-415D-A771-AE5EB2C1268F,,,E82931BF-28D9-47FF-982F-8CDA9F3F6A00,,,5919269512,CD41951,RU,2.62.3.221,CD41951p2870___2119552___2185832___5a13a632-9ff0-11e6-b4a0-114116bb084f
"2016-11-01 05:08:49","2016-11-01 05:14:52",BF2C43C8-F811-4542-9D42-776BA954E7F8,"iPhone6,1",02:00:00:00:00:00,DF89D1CF-DA96-47C9-AC5E-9EC72051A1E6,,,BF2C43C8-F811-4542-9D42-776BA954E7F8,,,5826852696,CD41951,RU,5.138.200.144,CD41951p1561_19e0e38f81f6___2119552___2185832___45817c5c-9ff1-11e6-827c-1140e4c45733
"2016-11-01 05:25:27","2016-11-01 05:27:56",43F98CDE-71BA-4F39-9A42-47F84C34CC82,"iPad2,7",02:00:00:00:00:00,A0A9543E-151D-4103-96CF-2B4CD4DE711A,,,43F98CDE-71BA-4F39-9A42-47F84C34CC82,,,5822818876,CD41951,RU,46.174.113.120,CD41951p1561_c6bfa84ecfb1___2119552___2185832___97ed270a-9ff3-11e6-bff9-1140042ca087
"2016-11-01 06:18:28","2016-11-01 06:20:20",4A5B01E4-D1B5-446B-A595-C02838F13BFC,"iPhone5,2",02:00:00:00:00:00,6BA53667-3AC8-4ECC-88A5-215C427F4410,2782D7D2-BD10-4406-9501-9D8C5183E2B9,6BA53667-3AC8-4ECC-88A5-215C427F4410,4A5B01E4-D1B5-446B-A595-C02838F13BFC,B67D038D-050F-4147-9491-54C71F2C1CD8,4A5B01E4-D1B5-446B-A595-C02838F13BFC,5919319275,CD41951,RU,109.252.45.130,CD41951p1561_79b316d6f70f___2119552___2185832___00864c5e-9ffb-11e6-b907-11407fd6083d
"2016-11-01 06:18:16","2016-11-01 06:20:50",AB560FC9-F2B7-483E-949A-1F04D6E0300A,"iPhone8,1",02:00:00:00:00:00,D5AF05A2-4E50-4F6A-828A-7694D9266EE0,,,AB560FC9-F2B7-483E-949A-1F04D6E0300A,,,5919319378,CD41951,RU,136.169.165.155,CD41951p1561_84eac22b768f___2119552___2185832___f7393cf6-9ffa-11e6-b116-11407fce6143
"2016-11-01 06:31:45","2016-11-01 06:34:26",ED955CB1-059E-4D17-B7A7-2ED37184F4E8,"iPhone5,2",02:00:00:00:00:00,CB50F107-FAA0-4169-8832-125F4522F714,6BA53667-3AC8-4ECC-88A5-215C427F4410,CB50F107-FAA0-4169-8832-125F4522F714,ED955CB1-059E-4D17-B7A7-2ED37184F4E8,4A5B01E4-D1B5-446B-A595-C02838F13BFC,ED955CB1-059E-4D17-B7A7-2ED37184F4E8,5919328379,CD41951,RU,109.252.45.130,CD41951p1561_86a4ae4dfabc___2119552___2185832___db5d740a-9ffc-11e6-a107-114004b66643
"2016-11-01 06:47:47","2016-11-01 06:49:37",E94ABC9F-4716-4E60-B4AB-C8B34AF8F6FC,"iPhone5,2",02:00:00:00:00:00,B2421DF0-9DB0-4BA8-ABB2-77A49A4548A4,CB50F107-FAA0-4169-8832-125F4522F714,B2421DF0-9DB0-4BA8-ABB2-77A49A4548A4,E94ABC9F-4716-4E60-B4AB-C8B34AF8F6FC,ED955CB1-059E-4D17-B7A7-2ED37184F4E8,E94ABC9F-4716-4E60-B4AB-C8B34AF8F6FC,5919338263,CD41951,RU,109.252.45.130,CD41951p1561_b32a96698d40___2119552___2185832___18a6909c-9fff-11e6-95bf-1140ec82b4c0
