,"5"
"02ab288ae6203a3994b1f60b5a2675c475baa0d8","1"
"0d6d038cc8a4d9a2f2e665057a19cc713b77378d","1"
"1000283","7"
"1001317","1"
"1001564","1"
"100319","12"
"1003734","3"
"1004578","1"
"1004981","1"
"1005753","1"
"100602","1"
"1006203","13"
"100655","12"
"1007033","1"
"1007049","4"
"100818","18"
"1009152","1"
"1009225","27"
"1009679","1"
"100968","13"
"100984","1"
"101020","2"
"101061","1"
"1010694","1"
"101114","1"
"1011349","4"
"1011936","1"
"1012594","46"
"1012895","1"
"101302","1"
"1013206","1"
"1013414","1"
"1013445","1"
"1014374","2"
"1014377","1"
"1014729","3"
"1015278","32"
"1016180","1"
"1016551","924"
"1017936","3"
"1017955","7"
"1018475","1"
"101851","65"
"101890","2"
"1019115","1"
"1019132","1"
"1019174","1"
"101919","1"
"1019324","1"
"1020691","3"
"1021120","4"
"102131","45"
"1021656","1"
"1021777","47"
"102370","9"
"102417","1"
"1024250","1"
"102476","1"
"1025308","2"
"1025740","1"
"1025800","1"
"1025862","1"
"1026443","1"
"1027583","1"
"1027778","1"
"1027781","1"
"102795","2"
"1027962","1"
"1027985","4"
"1028044","1"
"1028421","1"
"1028573","2"
"1028708","16"
"102911","1"
"102937","2"
"1029704","1"
"1029706","2"
"1030666","1"
"103111","1"
"1031294","1"
"1031655","2"
"1031665","1"
"1031946","1"
"1032098","59"
"1032354","1"
"103272","1"
"103308","1"
"1033571","15"
"1033727","4"
"1033887","1"
"1034111","1"
"1034126","1"
"1034277","121"
"1034291","10"
"103432","1"
"1035274","1"
"1035595","3"
"103600","1"
"103606","1"
"1036968","5"
"1037082","2"
"1037258","4"
"1037274","6"
"103748","51"
"103761","40"
"1038945","3"
"1039326","2"
"1039528","6"
"1039970","1"
"1040098","1"
"1040501","1"
"1041166","1"
"104134","3"
"1042088","1"
"104215","1"
"1042218","1"
"104299","1"
"1044048","1"
"104517","1"
"1045833","1"
"104610","1"
"1046468","1"
"104727","1"
"1047789","2"
"1047898","1"
"1048386","1"
"1049085","2"
"1049579","2"
"104989","1"
"1051119","6"
"105143","2"
"1051626","1"
"105187","1"
"105275","1"
"1052928","1"
"105311","1"
"1053276","2"
"105461","2"
"1055103","2"
"1056033","1"
"1056423","3"
"105675","1"
"105693","1"
"105754","1"
"105758","4"
"105824","1"
"106022","1"
"106023","1"
"106081","4"
"1061442","1"
"106396","1"
"106439","1"
"106506","1"
"106545","2"
"107214","1"
"107231","1"
"107353","1"
"107698","1"
"107815","1"
"107817","1"
"107874","1"
"108057","1"
"108248","1"
"108261","14"
"108622","1"
"109029","1"
"109428","1"
"109683","1"
"11081","1"
"110921","1"
"11139","16"
"111399","1"
"111400","1"
"11193","3"
"11253","1"
"11261","28"
"11373","4"
