;"6"
"01a112f9b1601d19a85fd029ef28eb1bd0019aad";"1"
"02ab288ae6203a3994b1f60b5a2675c475baa0d8";"1"
"02ab288ae6203a3994b1f60b5a2675c475baa0d8"",""creative_name"":""n16_059_dmk_xpromo_loc_30s_onv01_en_pr_compressed.mov";"1"
"02ab288ae6203a3994b1f60b5a2675c475baa0d8"",""creative_name"":""n16_083_dmk_ua02_30s_onv01_en_pr_comp.mp4";"1"
"05893209e32c410150c67b6d87dfb0c3bca41d0d"",""creative_name"":""disney magic kingdoms android v2 kr_30s";"1"
"09d694732fcac72cfa11fcc72f5bd21e0be2f92d"",""creative_name"":""n16_083_dmk_ua01_30s_onv01_en_pr_comp.mp4";"1"
"09d694732fcac72cfa11fcc72f5bd21e0be2f92d"",""creative_name"":""n16_083_dmk_ua02_30s_onv01_en_pr_comp.mp4";"1"
"09f9edecedd2841e6fe661ccba98c46ed15074c8"",""creative_name"":""n16_059_dmk_xpromo_loc_15s_onv01_en_pr_compressed.mov";"1"
"0d18e0d7a63d970a3842d2c69de28db96064fd136cd2838a636c73367de29630a2abd0961a70185dce2fbe3a53bfc7513b7ee19b8436e02a34d9f4430c8a1205b724a2d0774721887d583f0067368611952f695c7cf7d6aec76cc78856504d27";"2"
"0d6d038cc8a4d9a2f2e665057a19cc713b77378d";"1"
"0d6d038cc8a4d9a2f2e665057a19cc713b77378d"",""creative_name"":""dragon mania legends ios vidmkt_070_dml_30s_onv01_en_1920x1080";"1"
"1000161";"2"
"1000180";"1"
"1000180"",""creative"":""";"1"
"1000283";"113"
"1000283"",""creative"":""";"20"
"1001047"",""creative"":""";"1"
"1001317";"4"
"1001317"",""creative"":""";"1"
"1001564";"12"
"1001564"",""creative"":""";"9"
"1001995";"1"
"1001995"",""creative"":""";"1"
"1002067";"2"
"1002067"",""creative"":""";"1"
"100227";"1"
"100268";"1"
"100319";"26"
"100319"",""creative"":""";"7"
"1003237";"1"
"1003320"",""creative"":""";"1"
"1003734";"5"
"1003734"",""creative"":""";"2"
"1003995";"1"
"100433";"1"
"1004578";"9"
"1004578"",""creative"":""";"2"
"1004713";"2"
"1004713"",""creative"":""";"3"
"100476";"1"
"100483";"1"
"100483"",""creative"":""";"2"
"1004981";"1"
"1005185";"1"
"1005229";"2"
"1005284";"2"
"1005736";"1"
"1005753";"4"
"1005919";"64"
"1005919"",""creative"":""";"20"
"100602";"1"
"1006202";"1"
"1006203";"51"
"1006203"",""creative"":""";"9"
"1006433";"16"
"1006433"",""creative"":""";"6"
"100655";"47"
"100655"",""creative"":""";"5"
"1007033";"2"
"1007049";"16"
"1007049"",""creative"":""";"1"
"1007553";"2"
"100779";"2"
"100779"",""creative"":""";"3"
"1007918";"1"
"1008081";"71"
"1008081"",""creative"":""";"97"
"100818";"35"
"100818"",""creative"":""";"2"
"100822";"3"
"100822"",""creative"":""";"2"
"1008301";"1"
"1008345";"130"
"1008345"",""creative"":""";"136"
"1008403";"2"
"1008621";"1"
"1008621"",""creative"":""";"1"
"1008649";"1"
"1009152";"3"
"1009225";"76"
"1009225"",""creative"":""";"31"
"100957";"10"
"100957"",""creative"":""";"14"
"1009671";"5"
"1009671"",""creative"":""";"5"
"1009679";"1"
"100968";"14"
"100968"",""creative"":""";"4"
"1009711"",""creative"":""";"1"
"100984";"2"
"100984"",""creative"":""";"1"
"100986";"7"
"100986"",""creative"":""";"9"
"1010046";"1"
"101020";"7"
"101020"",""creative"":""";"1"
"101061";"2"
"101061"",""creative"":""";"1"
"101062";"1"
"1010694";"15"
"1010694"",""creative"":""";"7"
"1010732";"1"
"1010761";"18"
"1010761"",""creative"":""";"13"
"101092";"1"
"101114";"10"
"1011142";"1"
"1011349";"6"
"1011453";"1"
"101148";"1"
"1011908";"2"
"1011908"",""creative"":""";"2"
"1011936";"2"
"1012005";"5"
"1012110";"1"
"101234";"1"
"1012584"",""creative"":""";"1"
"1012594";"681"
"1012594"",""creative"":""";"950"
"1012595";"7"
"1012648";"5"
"1012648"",""creative"":""";"1"
"101288";"1"
"101288"",""creative"":""";"1"
"1012895";"1"
"101302";"5"
"1013027";"5"
"1013027"",""creative"":""";"6"
"1013206";"3"
"1013414";"2"
"1013414"",""creative"":""";"1"
"1013445";"3"
"1013654";"1"
"1014374";"7"
"1014374"",""creative"":""";"3"
"1014377";"11"
"1014377"",""creative"":""";"4"
"101446";"1"
"1014528";"2"
"1014624";"1"
"101472";"1"
"1014726";"1"
"1014729";"27"
"1014729"",""creative"":""";"4"
"1014889";"2"
"1014889"",""creative"":""";"1"
"101489";"1"
"1015056";"2"
"1015143";"1"
"1015197";"3"
"1015197"",""creative"":""";"1"
"1015278";"170"
"1015506";"1"
"1015592";"2"
"1015592"",""creative"":""";"2"
"101598";"1"
"1016180";"1"
"1016281";"2"
"1016290"",""creative"":""";"2"
"1016395";"1"
"1016400";"3"
"1016551";"3783"
"1016551"",""creative"":""";"13194"
"1016552";"2"
"1016577";"2"
"1016929";"1"
"1016929"",""creative"":""";"1"
"101744";"1"
"101744"",""creative"":""";"1"
"1017607";"3"
"1017607"",""creative"":""";"1"
"1017755";"1"
"1017936";"25"
"1017936"",""creative"":""";"11"
"1017955";"31"
"1017955"",""creative"":""";"8"
"1018209";"1"
"1018475";"2"
"101851";"101"
"101868";"1"
"1018764";"4"
"1018764"",""creative"":""";"2"
"101890";"2"
"101890"",""creative"":""";"1"
"1018924";"1"
"1018927"",""creative"":""";"1"
"101894";"1"
"1018977";"1"
"1019115";"1"
"1019132";"1"
"1019174";"1"
"101919";"1"
"101921";"1"
"1019324";"3"
"1019404";"34"
"1019467";"1"
"1019610";"8"
"101985"",""creative"":""";"1"
"1019879";"4"
"1019879"",""creative"":""";"1"
"1020083";"1"
"1020204";"26"
"1020204"",""creative"":""";"17"
"1020381";"1"
"1020691";"3"
"102087"",""creative"":""";"2"
"1021120";"14"
"1021120"",""creative"":""";"3"
"102123";"1"
"1021247";"1"
"102131";"94"
"102131"",""creative"":""";"9"
"1021331";"7"
"1021331"",""creative"":""";"1"
"1021656";"24"
"1021656"",""creative"":""";"12"
"1021777";"67"
"1021777"",""creative"":""";"8"
"1021962";"9"
"1021962"",""creative"":""";"13"
"1022683";"2"
"1022683"",""creative"":""";"1"
"1022725"",""creative"":""";"1"
"1022900";"1"
"1023218";"2"
"102370";"62"
"102370"",""creative"":""";"3"
"1023964";"3"
"1023964"",""creative"":""";"1"
"102411";"1"
"102417";"1"
"1024250";"18"
"1024250"",""creative"":""";"8"
"102476";"3"
"1024834"",""creative"":""";"2"
"1025308";"3"
"1025308"",""creative"":""";"1"
"1025740";"5"
"1025740"",""creative"":""";"3"
"1025800";"4"
"1025862";"2"
"1026016";"1"
"1026025";"1"
"1026025"",""creative"":""";"1"
"1026443";"2"
"1026446";"19"
"1026446"",""creative"":""";"1"
"102648"",""creative"":""";"1"
"1026771";"12"
"1026771"",""creative"":""";"2"
"1026894";"1"
"102695";"1"
"1027107";"1"
"1027204";"1"
"102740";"1"
"102740"",""creative"":""";"1"
"1027459";"1"
"1027459"",""creative"":""";"1"
"1027583";"1"
"1027711"",""creative"":""";"1"
"1027778";"20"
"1027778"",""creative"":""";"11"
"1027781";"1"
"1027814";"1"
"102795";"2"
"1027962";"7"
"1027962"",""creative"":""";"3"
"1027985";"6"
"1028026";"1"
"1028044";"3"
"1028421";"5"
"1028421"",""creative"":""";"3"
"1028573";"4"
"1028708";"20"
"1028708"",""creative"":""";"1"
"1029043";"1"
"1029043"",""creative"":""";"1"
"1029044";"2"
"102911";"1"
"1029253";"1"
"102928";"37"
"102928"",""creative"":""";"7"
"102937";"7"
"102959";"1"
"1029704";"1"
"1029706";"13"
"1029706"",""creative"":""";"5"
"1029707";"13"
"1029707"",""creative"":""";"6"
"1030052"",""creative"":""";"1"
"1030072";"10"
"1030072"",""creative"":""";"7"
"1030095";"5"
"1030095"",""creative"":""";"3"
"1030096";"1"
"1030272"",""creative"":""";"1"
"1030402";"11"
"1030402"",""creative"":""";"1"
"1030415";"5"
"1030415"",""creative"":""";"4"
"1030666";"1"
"1030675";"1"
"1030838";"1"
"1030895";"1"
"1031006"",""creative"":""";"1"
"103111";"1"
"1031176";"1"
"1031214";"3"
"1031214"",""creative"":""";"2"
"1031294";"3"
"1031316"",""creative"":""";"1"
"1031420";"34"
"1031420"",""creative"":""";"29"
"1031606";"2"
"1031655";"9"
"1031655"",""creative"":""";"5"
"1031665";"2"
"1031665"",""creative"":""";"1"
"1031720";"10"
"1031720"",""creative"":""";"3"
"103192"",""creative"":""";"1"
"1031946";"2"
"1031946"",""creative"":""";"1"
"1031966"",""creative"":""";"1"
"1032049";"1"
"1032098";"120"
"1032182"",""creative"":""";"2"
"1032281";"3"
"1032354";"1"
"1032445";"1"
"1032445"",""creative"":""";"1"
"103254";"1"
"103254"",""creative"":""";"1"
"103258";"1"
"103272";"1"
"103272"",""creative"":""";"1"
"103305";"1"
"1033079";"1"
"103308";"5"
"1033127";"1"
"1033571";"122"
"1033571"",""creative"":""";"10"
"103365";"1"
"103368";"1"
"1033720";"1"
"1033727";"5"
"1033727"",""creative"":""";"1"
"103375";"12"
"103375"",""creative"":""";"3"
"1033805";"6"
"1033805"",""creative"":""";"10"
"1033887";"2"
"1033887"",""creative"":""";"1"
"1033969";"3"
"1033970";"1"
"1034083";"1"
"1034111";"15"
"1034111"",""creative"":""";"10"
"1034126";"12"
"1034277";"143"
"1034291";"18"
"1034291"",""creative"":""";"2"
"103432";"1"
"1035003";"8"
"1035003"",""creative"":""";"2"
"103502";"6"
"103502"",""creative"":""";"1"
"1035021";"1"
"1035086";"1"
"1035238";"1"
"1035259";"1"
"103527";"3"
"1035274";"1"
"1035423";"1"
"1035423"",""creative"":""";"1"
"1035541";"1"
"1035571";"1"
"1035571"",""creative"":""";"1"
"1035595";"12"
"1035879"",""creative"":""";"1"
"1035927"",""creative"":""";"1"
"1035938";"1"
"103600";"1"
"103606";"6"
"103606"",""creative"":""";"3"
"1036113"",""creative"":""";"1"
"1036130";"6"
"1036293";"2"
"103630";"1"
"103639";"15"
"103639"",""creative"":""";"7"
"1036748";"1"
"1036785";"2"
"1036859";"1"
"1036861";"7"
"1036861"",""creative"":""";"8"
"1036968";"6"
"1036968"",""creative"":""";"3"
"1037082";"3"
"1037149";"1"
"1037149"",""creative"":""";"1"
"1037248"",""creative"":""";"1"
"1037258";"14"
"1037258"",""creative"":""";"4"
"1037274";"50"
"1037274"",""creative"":""";"7"
"1037461";"1"
"103748";"128"
"103761";"101"
"1037653";"2"
"1037653"",""creative"":""";"1"
"1037828";"11"
"1037828"",""creative"":""";"9"
"1037836";"1"
"1038210";"28"
"1038210"",""creative"":""";"8"
"103829";"4"
"1038574";"6"
"1038574"",""creative"":""";"2"
"1038945";"55"
"1038945"",""creative"":""";"18"
"1038946";"3"
"1039094"",""creative"":""";"1"
"1039226"",""creative"":""";"1"
"103931"",""creative"":""";"1"
"1039326";"3"
"1039326"",""creative"":""";"1"
"1039374";"5"
"1039374"",""creative"":""";"2"
"1039524";"4"
"1039528";"8"
"1039528"",""creative"":""";"1"
"1039886";"3"
"1039886"",""creative"":""";"2"
"1039970";"1"
"1039983";"1"
"1040058"",""creative"":""";"1"
"1040098";"1"
"104034";"2"
"1040501";"13"
"1040501"",""creative"":""";"9"
"104067";"4"
"1041166";"4"
"104134";"9"
"104134"",""creative"":""";"3"
"1041371";"26"
"1041371"",""creative"":""";"28"
"104138"",""creative"":""";"1"
"104152";"1"
"1041533";"1"
"1041740";"5"
"1041796";"1"
"1041800";"6"
"1041880";"1"
"1042051"",""creative"":""";"1"
"1042088";"3"
"1042088"",""creative"":""";"1"
"104215";"1"
"104215"",""creative"":""";"2"
"1042218";"1"
"1042545";"1"
"1042596";"1"
"104262"",""creative"":""";"1"
"1042644";"1"
"1042740";"4"
"1042791"",""creative"":""";"1"
"104288";"1"
"104299";"1"
"104299"",""creative"":""";"1"
"1043526";"5"
"1043526"",""creative"":""";"4"
"1043562";"4"
"1043601";"1"
"1044048";"1"
"104409";"2"
"104409"",""creative"":""";"1"
"1044093";"106"
"1044093"",""creative"":""";"96"
"1044120"",""creative"":""";"1"
"1044157";"1"
"1044170";"1"
"1044440";"1"
"1044480";"1"
"1044725";"1"
"1044806";"4"
"1044806"",""creative"":""";"2"
"1045013";"5"
"1045013"",""creative"":""";"2"
"104517";"1"
"104520";"2"
"1045209"",""creative"":""";"1"
"1045232";"1"
"1045487";"2"
"1045689"",""creative"":""";"1"
"104579";"10"
"104579"",""creative"":""";"2"
"1045833";"7"
"1045833"",""creative"":""";"3"
"104610";"3"
"1046389";"19"
"1046389"",""creative"":""";"9"
"1046468";"214"
"1046468"",""creative"":""";"9"
"1046487";"1"
"1046487"",""creative"":""";"1"
"104661"",""creative"":""";"1"
"1046953";"3"
"1046953"",""creative"":""";"3"
"1047022";"1"
"1047050"",""creative"":""";"1"
"104706";"1"
"1047103";"1"
"104727";"1"
"1047445";"1"
"104746";"1"
"1047509";"16"
"1047509"",""creative"":""";"8"
"1047789";"19"
"1047789"",""creative"":""";"4"
"1047898";"1"
"1047907";"2"
"1048131";"4"
"1048131"",""creative"":""";"1"
"1048350";"18"
"1048350"",""creative"":""";"13"
"1048386";"7"
"1048386"",""creative"":""";"6"
"1048563";"1"
"1048857";"1"
"1049085";"2"
"104947";"1"
"1049579";"2"
"1049579"",""creative"":""";"1"
"104989";"5"
"104989"",""creative"":""";"1"
"1049979";"7"
"1049979"",""creative"":""";"3"
"105018";"1"
"1050369";"1"
"105037";"12"
"105037"",""creative"":""";"7"
"105039";"1"
"105059";"1"
"105059"",""creative"":""";"1"
"105090";"1"
"1050900";"1"
"1050996";"2"
"1051119";"6"
"1051343";"1"
"1051343"",""creative"":""";"1"
"105143";"53"
"105143"",""creative"":""";"22"
"1051626";"1"
"1051783";"1"
"1051783"",""creative"":""";"1"
"105182";"91"
"105182"",""creative"":""";"19"
"105187";"1"
"1052036"",""creative"":""";"1"
"105215";"5"
"105215"",""creative"":""";"1"
"1052155";"17"
"1052155"",""creative"":""";"18"
"105221";"1"
"105221"",""creative"":""";"1"
"1052681";"1"
"105275";"50"
"105275"",""creative"":""";"31"
"105276";"42"
"105276"",""creative"":""";"4"
"1052928";"1"
"105297"",""creative"":""";"1"
"1053000";"4"
"1053052";"3"
"1053052"",""creative"":""";"2"
"1053071";"1"
"1053071"",""creative"":""";"1"
"105311";"1"
"105324";"1"
"105324"",""creative"":""";"2"
"1053276";"5"
"105352";"4"
"105352"",""creative"":""";"3"
"1053532";"1"
"1053575";"1"
"1053575"",""creative"":""";"6"
"1053629";"5"
"1053629"",""creative"":""";"10"
"105404";"7"
"1054167";"1"
"1054259";"2"
"1054338";"1"
"1054338"",""creative"":""";"1"
"105461";"26"
"105461"",""creative"":""";"13"
"1055103";"5"
"1055385";"6"
"1055437";"2"
"1055497";"1"
"105557";"1"
"1055733";"1"
"1055733"",""creative"":""";"4"
"1056005";"1"
"1056033";"13"
"1056033"",""creative"":""";"5"
"1056331"",""creative"":""";"1"
"1056375";"1"
"1056411";"4"
"1056423";"7"
"1056423"",""creative"":""";"5"
"105675";"2"
"105678";"3"
"105678"",""creative"":""";"1"
"105693";"1"
"1057206";"6"
"1057206"",""creative"":""";"8"
"105734";"5"
"105734"",""creative"":""";"1"
"105754";"1"
"105758";"5"
"105765";"3"
"1057721";"1"
"1057763";"1"
"105824";"1"
"1058390"",""creative"":""";"1"
"1058619";"12"
"1058619"",""creative"":""";"20"
"1058760"",""creative"":""";"1"
"1058932"",""creative"":""";"1"
"1059206"",""creative"":""";"1"
"1059414";"1"
"1059794"",""creative"":""";"2"
"1059797";"1"
"1059822"",""creative"":""";"1"
"1059879";"1"
"106001";"2"
"106001"",""creative"":""";"1"
"1060111";"1"
"106022";"1"
"106023";"1"
"106033";"1"
"1060345";"3"
"1060473";"1"
"1060483";"3"
"1060483"",""creative"":""";"2"
"1060554";"2"
"1060715";"1"
"1060787";"2"
"106081";"8"
"106081"",""creative"":""";"3"
"1060815";"1"
"1061352";"1"
"106137";"716"
"106137"",""creative"":""";"303"
"1061442";"1"
"1061542"",""creative"":""";"1"
"1061555";"1"
"1061557";"1"
"106156";"82"
"106156"",""creative"":""";"90"
"1061946"",""creative"":""";"1"
"1062228"",""creative"":""";"1"
"106235";"83"
"106235"",""creative"":""";"22"
"1062433";"1"
"1062530";"1"
"1062530"",""creative"":""";"1"
"1062687";"1"
"106286";"1"
"1062904";"1"
"1062926";"5"
"1062926"",""creative"":""";"2"
"106298";"1"
"106328";"1"
"1063347";"27"
"1063347"",""creative"":""";"19"
"1063484";"141"
"1063484"",""creative"":""";"92"
"1063792";"1"
"106381";"125"
"106381"",""creative"":""";"53"
"1063874";"1"
"1063923"",""creative"":""";"2"
"106396";"6"
"106396"",""creative"":""";"1"
"1064073";"2"
"1064269";"2"
"106439";"1"
"106455";"1"
"1064693";"22"
"1064693"",""creative"":""";"3"
"106506";"12"
"1065072";"1"
"106509";"39"
"106509"",""creative"":""";"41"
"1065417";"1"
"106545";"2"
"1065490"",""creative"":""";"1"
"1065527";"3"
"1066196";"4"
"1066196"",""creative"":""";"2"
"1066236";"1"
"106630";"2"
"106653";"2"
"1066580"",""creative"":""";"1"
"106678";"1"
"106678"",""creative"":""";"5"
"1067090";"1"
"106721";"1"
"106736";"45"
"1067406"",""creative"":""";"2"
"106749";"1"
"106759";"2"
"1068087";"1"
"1068158";"1"
"1068225";"1"
"1068425";"4"
"1068425"",""creative"":""";"3"
"1068450";"1"
"1068487";"2"
"1068487"",""creative"":""";"1"
"1068618";"1"
"1068618"",""creative"":""";"1"
"106873";"1"
"106879";"6"
"106879"",""creative"":""";"3"
"1068902";"4"
"1068902"",""creative"":""";"1"
"1068912";"1"
"1068972"",""creative"":""";"1"
"1069093";"1"
"1069093"",""creative"":""";"2"
"106931";"1"
"106931"",""creative"":""";"1"
"1069381";"9"
"1069381"",""creative"":""";"3"
"106977"",""creative"":""";"1"
