"Sub Publisher",Attributions
,6
01a112f9b1601d19a85fd029ef28eb1bd0019aad,1
02ab288ae6203a3994b1f60b5a2675c475baa0d8,3
05893209e32c410150c67b6d87dfb0c3bca41d0d,1
09d694732fcac72cfa11fcc72f5bd21e0be2f92d,2
09f9edecedd2841e6fe661ccba98c46ed15074c8,1
0d18e0d7a63d970a3842d2c69de28db96064fd136cd2838a636c73367de29630a2abd0961a70185dce2fbe3a53bfc7513b7ee19b8436e02a34d9f4430c8a1205b724a2d0774721887d583f0067368611952f695c7cf7d6aec76cc78856504d27,2
0d6d038cc8a4d9a2f2e665057a19cc713b77378d,2
1000161,2
1000180,2
1000283,133
1001047,1
1001317,5
1001564,21
1001995,2
1002067,3
100227,1
100268,1
100319,33
1003237,1
1003320,1
1003734,7
1003995,1
100433,1
1004578,11
1004713,5
100476,1
100483,3
1004981,1
1005185,1
1005229,2
1005284,2
1005736,1
1005753,4
1005919,84
100602,1
1006202,1
1006203,60
1006433,22
100655,52
1007033,2
1007049,17
1007553,2
100779,5
1007918,1
1008081,168
100818,37
100822,5
1008301,1
1008345,266
1008403,2
1008621,2
1008649,1
1009152,3
1009225,107
100957,24
1009671,10
1009679,1
100968,18
1009711,1
100984,3
100986,16
1010046,1
101020,8
101061,3
101062,1
1010694,22
1010732,1
1010761,31
101092,1
101114,10
1011142,1
1011349,6
1011453,1
101148,1
1011908,4
1011936,2
1012005,5
1012110,1
101234,1
1012584,1
1012594,1631
1012595,7
1012648,6
101288,2
1012895,1
101302,5
1013027,11
1013206,3
1013414,3
1013445,3
1013654,1
1014374,10
1014377,15
101446,1
1014528,2
1014624,1
101472,1
1014726,1
1014729,31
1014889,3
101489,1
1015056,2
1015143,1
1015197,4
1015278,170
1015506,1
1015592,4
101598,1
1016180,1
1016281,2
1016290,2
1016395,1
1016400,3
1016551,16977
1016552,2
1016577,2
1016929,2
101744,2
1017607,4
1017755,1
1017936,36
1017955,39
1018209,1
1018475,2
101851,101
101868,1
1018764,6
101890,3
1018924,1
1018927,1
101894,1
1018977,1
1019115,1
1019132,1
1019174,1
101919,1
101921,1
1019324,3
1019404,34
1019467,1
1019610,8
101985,1
1019879,5
1020083,1
1020204,43
1020381,1
1020691,3
102087,2
1021120,17
102123,1
1021247,1
102131,103
1021331,8
1021656,36
1021777,75
1021962,22
1022683,3
1022725,1
1022900,1
1023218,2
102370,65
1023964,4
102411,1
102417,1
1024250,26
102476,3
1024834,2
1025308,4
1025740,8
1025800,4
1025862,2
1026016,1
1026025,2
1026443,2
1026446,20
102648,1
1026771,14
1026894,1
102695,1
1027107,1
1027204,1
102740,2
1027459,2
1027583,1
1027711,1
1027778,31
1027781,1
1027814,1
102795,2
1027962,10
1027985,6
1028026,1
1028044,3
1028421,8
1028573,4
1028708,21
1029043,2
1029044,2
102911,1
1029253,1
102928,44
102937,7
102959,1
1029704,1
1029706,18
1029707,19
1030052,1
1030072,17
1030095,8
1030096,1
1030272,1
1030402,12
1030415,9
1030666,1
1030675,1
1030838,1
1030895,1
1031006,1
103111,1
1031176,1
1031214,5
1031294,3
1031316,1
1031420,63
1031606,2
1031655,14
1031665,3
1031720,13
103192,1
1031946,3
1031966,1
1032049,1
1032098,120
1032182,2
1032281,3
1032354,1
1032445,2
103254,2
103258,1
103272,2
103305,1
1033079,1
103308,5
1033127,1
1033571,132
103365,1
103368,1
1033720,1
1033727,6
103375,15
1033805,16
1033887,3
1033969,3
1033970,1
1034083,1
1034111,25
1034126,12
1034277,143
1034291,20
103432,1
1035003,10
103502,7
1035021,1
1035086,1
1035238,1
1035259,1
103527,3
1035274,1
1035423,2
1035541,1
1035571,2
1035595,12
1035879,1
1035927,1
1035938,1
103600,1
103606,9
1036113,1
1036130,6
1036293,2
103630,1
103639,22
1036748,1
1036785,2
1036859,1
1036861,15
1036968,9
1037082,3
1037149,2
1037248,1
